City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Coari,BR,-4.085,-63.1414,76.37,96,100,2.37,moderate rain
118,Khatanga,RU,71.9667,102.5,7.09,95,100,8.03,overcast clouds
119,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,79.25,82,98,3.24,overcast clouds
120,Stornoway,GB,58.2093,-6.3865,44.56,89,68,1.14,broken clouds
121,Yellowknife,CA,62.456,-114.3525,16.29,60,20,8.05,few clouds
122,Adrar,MR,20.5022,-10.0711,74.28,17,0,11.95,clear sky
123,Severo-Kurilsk,RU,50.6789,156.125,29.68,84,100,24.54,light snow
124,Parkersburg,US,39.2667,-81.5615,72.21,53,100,18.41,overcast clouds
125,Kasongo-Lunda,CD,-6.4667,16.8167,71.11,97,100,1.54,overcast clouds
126,Kapaa,US,22.0752,-159.319,84.18,78,20,12.66,few clouds
127,Bubaque,GW,11.2833,-15.8333,75.34,74,100,21.68,overcast clouds
128,Olafsvik,IS,64.8945,-23.7142,41.92,80,100,14.67,overcast clouds
129,Komsomolskiy,UZ,40.4272,71.7189,63.32,59,2,4.61,clear sky
130,Provideniya,RU,64.3833,-173.3,28.51,86,100,15.99,snow
131,Yumen,CN,40.2833,97.2,41.14,12,79,11.21,broken clouds
132,Porto Novo,BJ,6.4965,2.6036,82.22,81,98,7.16,overcast clouds
133,Bekhtery,UA,46.251,32.2927,44.44,89,100,18.45,overcast clouds
134,Sisimiut,GL,66.9395,-53.6735,18.88,82,58,16.73,broken clouds
135,Chanute,US,37.6792,-95.4572,53.71,28,0,16.11,clear sky
136,Susa,TN,35.8254,10.637,60.58,82,75,23.02,broken clouds
137,Dunmore East,IE,52.1514,-6.9861,51.69,75,34,8.86,scattered clouds
138,Carnarvon,AU,-24.8667,113.6333,64.47,72,0,11.5,clear sky
139,High Prairie,CA,55.4334,-116.4858,25.72,34,84,6.31,broken clouds
140,Maple Creek,CA,49.9168,-109.4848,19.45,68,100,13.8,overcast clouds
141,Hithadhoo,MV,-0.6,73.0833,83.35,74,94,9.53,overcast clouds
142,Manhattan,US,40.7834,-73.9662,75.34,65,0,10.36,clear sky
143,Pumiao,CN,22.75,108.4833,64.8,72,0,3.94,clear sky
144,Bonfim,BR,3.0833,-59.95,86.61,51,89,13.18,overcast clouds
145,Chuy,UY,-33.6971,-53.4616,57.63,67,14,8.48,few clouds
