City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
187,Ibra,OM,77.59,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
188,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
192,Mamallapuram,IN,84.06,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
194,Kismayo,SO,82.0,scattered clouds,-0.3582,42.5454,Agan-Hotel
195,Nishihara,JP,74.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
201,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
210,Tura,IN,72.01,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
212,Vilhena,BR,80.82,heavy intensity rain,-12.7406,-60.1458,Hotel Mirage
213,Davila,PH,75.18,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
215,Vanimo,PG,82.98,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
218,Tarboro,US,82.78,clear sky,35.8968,-77.5358,SureStay Plus Hotel Tarboro by Best Western
219,Bethel,US,74.25,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
220,Beloha,MG,74.19,broken clouds,-25.1667,45.05,
224,Penalva,BR,74.77,overcast clouds,-3.2942,-45.1736,Hotel São José
227,Salinopolis,BR,78.31,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
228,Kudahuvadhoo,MV,84.22,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
229,Eirunepe,BR,77.67,broken clouds,-6.6603,-69.8736,Atrás de você
236,Pontes E Lacerda,BR,75.65,scattered clouds,-15.2261,-59.3353,Hotel Bressan
238,U Thong,TH,77.56,overcast clouds,14.3751,99.8923,คงทองทิพย์รีสอร์ท
240,Mount Isa,AU,83.97,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
241,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
242,Prainha,BR,74.84,overcast clouds,-1.8,-53.48,Casa Rocha
248,Sapa,PH,79.39,broken clouds,5.1544,120.3241,
249,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
250,Victoria,HK,76.17,clear sky,22.2855,114.1577,Mini Hotel Central
252,Tautira,PF,81.37,light rain,-17.7333,-149.15,Pension Oaoa
255,Neiafu,TO,83.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
260,Natal,BR,83.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
263,San Policarpo,PH,77.29,overcast clouds,12.1791,125.5072,Agapita M. Nicart
264,Roebourne,AU,81.07,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
268,Tamayo,DO,82.11,few clouds,18.3947,-71.2029,Hotel del Valle
274,Santo Tomas,PH,79.56,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
276,Coahuayana,MX,84.22,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
280,Touros,BR,79.12,clear sky,-5.1989,-35.4608,INN NEW HORIZON
292,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
296,Itoman,JP,75.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
298,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
299,Ipora,BR,77.18,broken clouds,-16.4419,-51.1178,Oásis Motel
302,Vila Velha,BR,82.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
307,Manacapuru,BR,78.01,overcast clouds,-3.2997,-60.6206,Novo Hotel
309,Axim,GH,79.45,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
313,Rodrigues Alves,BR,79.0,overcast clouds,-7.738,-72.6509,Pousada Aconchego
317,Mandera,KE,83.84,broken clouds,3.9366,41.867,Hiren Hotel Mandera
320,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
323,Pochutla,MX,88.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
324,Camopi,GF,72.88,broken clouds,3.1655,-52.3158,La pousada
327,Trairi,BR,77.5,overcast clouds,-3.2778,-39.2689,janelas do mar
338,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
342,Dingle,PH,76.26,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
345,Vao,NC,75.42,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
348,Lorengau,PG,84.58,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
349,Gerash,IR,75.96,broken clouds,27.6652,54.1371,Sa'adat House Gerash
350,Keffi,NG,79.57,light rain,8.8486,7.8736,Imam Family
353,Hambantota,LK,79.2,overcast clouds,6.1241,81.1185,Bungalow 63
359,Sinnamary,GF,77.38,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
362,Tadine,NC,78.76,clear sky,-21.55,167.8833,
367,Xai-Xai,MZ,76.44,clear sky,-25.0519,33.6442,Complexo da Familia
368,Labuhan,ID,77.05,scattered clouds,-6.8844,112.2051,DoubleFAG
371,Mana,GF,76.98,broken clouds,5.6592,-53.7767,LE SAMANA
372,Alenquer,BR,76.91,overcast clouds,-1.9417,-54.7383,Detinha Hotel
374,Garowe,SO,75.34,clear sky,8.4054,48.4845,Curubo Hotel
376,Hobyo,SO,81.73,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
377,Arlit,NE,85.24,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
379,Dehloran,IR,73.71,clear sky,32.6941,47.2679,کافه گیم استورم
383,Pauini,BR,75.74,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
384,Quelimane,MZ,73.92,clear sky,-17.8786,36.8883,Hotel Flamingo
388,Yulara,AU,75.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
